A,B,C,Striad,ptriad,Ncycles,N_AB,N_BC,N_CA
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),0.04822105833483836,0.001996007984031936,267,5649,7136,5537
Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),Zeffro / DER AN914 (eobs 3912),0.03151862464183381,0.001996007984031936,33,1047,1289,1793
Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),0.014613778705636743,0.001996007984031936,14,1047,958,5461
Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),0.02865329512893983,0.001996007984031936,30,1047,1128,6674
Balou / DER AN916 (eobs 3913),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.11399636458062841,0.001996007984031936,439,5933,3919,3851
Balou / DER AN916 (eobs 3913),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.031073446327683617,0.001996007984031936,44,1472,1416,3851
Balou / DER AN916 (eobs 3913),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.041440217391304345,0.001996007984031936,61,1472,1724,5933
Balou / DER AN916 (eobs 3913),Konstantina / DER AU001 (eobs 3923),Wibi 1 / DER AU043 (eobs 3942),0.09452090366138666,0.001996007984031936,364,4186,3969,3851
Balou / DER AN916 (eobs 3913),Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),0.09961777353081701,0.001996007984031936,417,4186,4210,5933
Balou / DER AN916 (eobs 3913),Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),0.04551630434782609,0.001996007984031936,67,4186,1520,1472
Balou / DER AN916 (eobs 3913),Sara / DER AU017 (eobs 3941),Wibi 1 / DER AU043 (eobs 3942),0.10075305115554402,0.001996007984031936,388,5583,4310,3851
Balou / DER AN916 (eobs 3913),Sara / DER AU017 (eobs 3941),Conchito / DER AU005 (eobs 3927),0.10872290883037793,0.001996007984031936,607,5583,5583,5933
Balou / DER AN916 (eobs 3913),Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),0.06861413043478261,0.001996007984031936,101,5583,1652,1472
Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),Conchito / DER AU005 (eobs 3927),0.020855057351407715,0.001996007984031936,20,1047,959,6715
Balou / DER AN916 (eobs 3913),Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),0.10415671285236502,0.001996007984031936,436,5583,5448,4186
Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),Conchito / DER AU005 (eobs 3927),0.03128258602711158,0.001996007984031936,30,972,959,5933
Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),Zeffro / DER AN914 (eobs 3912),0.05761316872427984,0.001996007984031936,56,972,1289,1472
Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),0.03966597077244259,0.001996007984031936,38,972,958,4186
Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),0.0411522633744856,0.001996007984031936,40,972,1128,5583
Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),Wibi 1 / DER AU043 (eobs 3942),0.09789665022072189,0.001996007984031936,377,7439,5344,3851
Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),Conchito / DER AU005 (eobs 3927),0.09758975223327153,0.001996007984031936,579,7439,6715,5933
Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),Zeffro / DER AN914 (eobs 3912),0.057744565217391304,0.001996007984031936,85,7439,1793,1472
Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),Konstantina / DER AU001 (eobs 3923),0.0817009077878643,0.001996007984031936,342,7439,5461,4186
Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),0.10514060540927817,0.001996007984031936,587,7439,6674,5583
Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),0.03292181069958848,0.001996007984031936,32,7439,1047,972
Nils / DER AU058 (eobs 3335),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.06506761929063537,0.001996007984031936,255,6833,3919,6154
Nils / DER AU058 (eobs 3335),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.01694915254237288,0.001996007984031936,24,1673,1416,6154
Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),Wibi 1 / DER AU043 (eobs 3942),0.0158311345646438,0.001996007984031936,12,972,758,3851
Nils / DER AU058 (eobs 3335),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.025702331141661684,0.001996007984031936,43,1673,1724,6833
Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),Wibi 1 / DER AU043 (eobs 3942),0.0079155672823219,0.001996007984031936,6,1047,758,5344
Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),0.039951573849878935,0.001996007984031936,66,6674,1652,1793
Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.06567796610169492,0.001996007984031936,93,1520,1416,3969
Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.07697368421052632,0.001996007984031936,117,1520,1724,4210
Sara / DER AU017 (eobs 3941),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.099004848175555,0.001996007984031936,388,5583,3919,4310
Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.04731638418079096,0.001996007984031936,67,1652,1416,4310
Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.05569007263922518,0.001996007984031936,92,1652,1724,5583
Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),Wibi 1 / DER AU043 (eobs 3942),0.0982615268329554,0.001996007984031936,390,5448,3969,4310
Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),0.09572446555819478,0.001996007984031936,403,5448,4210,5583
Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),0.06447368421052632,0.001996007984031936,98,5448,1520,1652
Bello / DER AU011 (eobs 3935),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.026385224274406333,0.001996007984031936,20,959,3919,758
Bello / DER AU011 (eobs 3935),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.03430079155672823,0.001996007984031936,26,1289,1416,758
Bello / DER AU011 (eobs 3935),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.045881126173096975,0.001996007984031936,44,1289,1724,959
Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),Wibi 1 / DER AU043 (eobs 3942),0.01978891820580475,0.001996007984031936,15,958,3969,758
Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),0.07158590308370044,0.001996007984031936,390,6674,5448,5461
Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),0.031315240083507306,0.001996007984031936,30,958,4210,959
Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),Wibi 1 / DER AU043 (eobs 3942),0.026385224274406333,0.001996007984031936,20,1128,4310,758
Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),Conchito / DER AU005 (eobs 3927),0.05005213764337852,0.001996007984031936,48,1128,5583,959
Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),0.061170212765957445,0.001996007984031936,69,1128,1652,1289
Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),0.04592901878914405,0.001996007984031936,44,1128,5448,958
Betty / DER AU059 (eobs 3342),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.09058433273794335,0.001996007984031936,355,6715,3919,5344
Betty / DER AU059 (eobs 3342),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.023305084745762712,0.001996007984031936,33,1793,1416,5344
Betty / DER AU059 (eobs 3342),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.02668213457076566,0.001996007984031936,46,1793,1724,6715
Betty / DER AU059 (eobs 3342),Konstantina / DER AU001 (eobs 3923),Wibi 1 / DER AU043 (eobs 3942),0.06097253716301335,0.001996007984031936,242,5461,3969,5344
Betty / DER AU059 (eobs 3342),Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),0.06152019002375297,0.001996007984031936,259,5461,4210,6715
Betty / DER AU059 (eobs 3342),Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),0.04013157894736842,0.001996007984031936,61,5461,1520,1793
Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),Wibi 1 / DER AU043 (eobs 3942),0.07935034802784223,0.001996007984031936,342,6674,4310,5344
Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),Conchito / DER AU005 (eobs 3927),0.09761776822496865,0.001996007984031936,545,6674,5583,6715
Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),0.06471816283924843,0.001996007984031936,62,958,1520,1289
Nils / DER AU058 (eobs 3335),Konstantina / DER AU001 (eobs 3923),Wibi 1 / DER AU043 (eobs 3942),0.055933484504913075,0.001996007984031936,222,5918,3969,6154
Nils / DER AU058 (eobs 3335),Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),0.056057007125890734,0.001996007984031936,236,5918,4210,6833
Nils / DER AU058 (eobs 3335),Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),0.029605263157894735,0.001996007984031936,45,5918,1520,1673
Ella / DER AU051 (eobs 3338),Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),0.07216716932356743,0.001996007984031936,335,5494,5448,4642
Ella / DER AU051 (eobs 3338),Bello / DER AU011 (eobs 3935),Wibi 1 / DER AU043 (eobs 3942),0.018469656992084433,0.001996007984031936,14,982,758,4582
Ella / DER AU051 (eobs 3338),Bello / DER AU011 (eobs 3935),Conchito / DER AU005 (eobs 3927),0.023983315954118872,0.001996007984031936,23,982,959,5762
Ella / DER AU051 (eobs 3338),Bello / DER AU011 (eobs 3935),Zeffro / DER AN914 (eobs 3912),0.024439918533604887,0.001996007984031936,24,982,1289,1757
Ella / DER AU051 (eobs 3338),Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),0.031315240083507306,0.001996007984031936,30,982,958,4642
Ella / DER AU051 (eobs 3338),Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),0.04480651731160896,0.001996007984031936,44,982,1128,5494
Ella / DER AU051 (eobs 3338),Betty / DER AU059 (eobs 3342),Wibi 1 / DER AU043 (eobs 3942),0.06940200785683108,0.001996007984031936,318,5758,5344,4582
Ella / DER AU051 (eobs 3338),Betty / DER AU059 (eobs 3342),Conchito / DER AU005 (eobs 3927),0.07085793678360541,0.001996007984031936,408,5758,6715,5762
Ella / DER AU051 (eobs 3338),Betty / DER AU059 (eobs 3342),Zeffro / DER AN914 (eobs 3912),0.043824701195219126,0.001996007984031936,77,5758,1793,1757
Ella / DER AU051 (eobs 3338),Betty / DER AU059 (eobs 3342),Konstantina / DER AU001 (eobs 3923),0.06139595002154244,0.001996007984031936,285,5758,5461,4642
Ella / DER AU051 (eobs 3338),Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),0.07353476519839826,0.001996007984031936,404,5758,6674,5494
Ella / DER AU051 (eobs 3338),Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),0.0274949083503055,0.001996007984031936,27,5758,1047,982
Ella / DER AU051 (eobs 3338),Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),0.046610169491525424,0.001996007984031936,77,5494,1652,1757
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Wibi 1 / DER AU043 (eobs 3942),0.05842638275772526,0.001996007984031936,225,5537,3851,4582
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Zeffro / DER AN914 (eobs 3912),0.049592391304347824,0.001996007984031936,73,5537,1472,1757
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Konstantina / DER AU001 (eobs 3923),0.05637840420449116,0.001996007984031936,236,5537,4186,4642
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Sara / DER AU017 (eobs 3941),0.06224972697488169,0.001996007984031936,342,5537,5583,5494
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),0.030864197530864196,0.001996007984031936,30,5537,972,982
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),0.07025465053277949,0.001996007984031936,389,5537,7439,5758
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Wibi 1 / DER AU043 (eobs 3942),0.032736796158882586,0.001996007984031936,150,5649,6154,4582
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Conchito / DER AU005 (eobs 3927),0.038236856080722255,0.001996007984031936,216,5649,6833,5762
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Zeffro / DER AN914 (eobs 3912),0.023909145248057383,0.001996007984031936,40,5649,1673,1757
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Konstantina / DER AU001 (eobs 3923),0.037914691943127965,0.001996007984031936,176,5649,5918,4642
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Sara / DER AU017 (eobs 3941),0.052420822715689847,0.001996007984031936,288,5649,7312,5494
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Bello / DER AU011 (eobs 3935),0.025052192066805846,0.001996007984031936,24,5649,958,982
Ella / DER AU051 (eobs 3338),Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),0.05859444149406975,0.001996007984031936,331,5649,7758,5758
Ella / DER AU051 (eobs 3338),Balou / DER AN916 (eobs 3913),Conchito / DER AU005 (eobs 3927),0.06212750586960448,0.001996007984031936,344,5537,5933,5762
Ella / DER AU051 (eobs 3338),Sara / DER AU017 (eobs 3941),Conchito / DER AU005 (eobs 3927),0.050418638514743354,0.001996007984031936,277,5494,5583,5762
Ella / DER AU051 (eobs 3338),Sara / DER AU017 (eobs 3941),Wibi 1 / DER AU043 (eobs 3942),0.05916473317865429,0.001996007984031936,255,5494,4310,4582
Ella / DER AU051 (eobs 3338),Konstantina / DER AU001 (eobs 3923),Zeffro / DER AN914 (eobs 3912),0.04802631578947368,0.001996007984031936,73,4642,1520,1757
Nils / DER AU058 (eobs 3335),Sara / DER AU017 (eobs 3941),Wibi 1 / DER AU043 (eobs 3942),0.06334106728538283,0.001996007984031936,273,7312,4310,6154
Nils / DER AU058 (eobs 3335),Sara / DER AU017 (eobs 3941),Conchito / DER AU005 (eobs 3927),0.08185563317212968,0.001996007984031936,457,7312,5583,6833
Nils / DER AU058 (eobs 3335),Sara / DER AU017 (eobs 3941),Zeffro / DER AN914 (eobs 3912),0.03631961259079903,0.001996007984031936,60,7312,1652,1673
Nils / DER AU058 (eobs 3335),Sara / DER AU017 (eobs 3941),Konstantina / DER AU001 (eobs 3923),0.06204111600587372,0.001996007984031936,338,7312,5448,5918
Nils / DER AU058 (eobs 3335),Bello / DER AU011 (eobs 3935),Wibi 1 / DER AU043 (eobs 3942),0.01978891820580475,0.001996007984031936,15,958,758,6154
Nils / DER AU058 (eobs 3335),Bello / DER AU011 (eobs 3935),Conchito / DER AU005 (eobs 3927),0.028183716075156576,0.001996007984031936,27,958,959,6833
Nils / DER AU058 (eobs 3335),Bello / DER AU011 (eobs 3935),Zeffro / DER AN914 (eobs 3912),0.031315240083507306,0.001996007984031936,30,958,1289,1673
Nils / DER AU058 (eobs 3335),Bello / DER AU011 (eobs 3935),Konstantina / DER AU001 (eobs 3923),0.021920668058455117,0.001996007984031936,21,958,958,5918
Nils / DER AU058 (eobs 3335),Bello / DER AU011 (eobs 3935),Sara / DER AU017 (eobs 3941),0.04175365344467641,0.001996007984031936,40,958,1128,7312
Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),Wibi 1 / DER AU043 (eobs 3942),0.05464071856287425,0.001996007984031936,292,7758,5344,6154
Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),Conchito / DER AU005 (eobs 3927),0.07520476545048399,0.001996007984031936,505,7758,6715,6833
Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),Zeffro / DER AN914 (eobs 3912),0.031679617453676034,0.001996007984031936,53,7758,1793,1673
Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),Konstantina / DER AU001 (eobs 3923),0.05035707745834096,0.001996007984031936,275,7758,5461,5918
Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),Sara / DER AU017 (eobs 3941),0.07551693137548697,0.001996007984031936,504,7758,6674,7312
Nils / DER AU058 (eobs 3335),Betty / DER AU059 (eobs 3342),Bello / DER AU011 (eobs 3935),0.025052192066805846,0.001996007984031936,24,7758,1047,958
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Wibi 1 / DER AU043 (eobs 3942),0.07270838743183589,0.001996007984031936,280,7136,3851,6154
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Conchito / DER AU005 (eobs 3927),0.07719534805326142,0.001996007984031936,458,7136,5933,6833
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Zeffro / DER AN914 (eobs 3912),0.036005434782608696,0.001996007984031936,53,7136,1472,1673
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Konstantina / DER AU001 (eobs 3923),0.06450071667462971,0.001996007984031936,270,7136,4186,5918
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Sara / DER AU017 (eobs 3941),0.07898979043524987,0.001996007984031936,441,7136,5583,7312
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Bello / DER AU011 (eobs 3935),0.021920668058455117,0.001996007984031936,21,7136,972,958
Nils / DER AU058 (eobs 3335),Balou / DER AN916 (eobs 3913),Betty / DER AU059 (eobs 3342),0.06950672645739911,0.001996007984031936,496,7136,7439,7758
Ella / DER AU051 (eobs 3338),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.0683847920387854,0.001996007984031936,268,5762,3919,4582
Ella / DER AU051 (eobs 3338),Zeffro / DER AN914 (eobs 3912),Wibi 1 / DER AU043 (eobs 3942),0.016242937853107344,0.001996007984031936,23,1757,1416,4582
Ella / DER AU051 (eobs 3338),Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),0.03944315545243619,0.001996007984031936,68,1757,1724,5762
Ella / DER AU051 (eobs 3338),Konstantina / DER AU001 (eobs 3923),Wibi 1 / DER AU043 (eobs 3942),0.03754094230284707,0.001996007984031936,149,4642,3969,4582
Ella / DER AU051 (eobs 3338),Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),0.035866983372921615,0.001996007984031936,151,4642,4210,5762
Konstantina / DER AU001 (eobs 3923),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.07323296759377393,0.001996007984031936,287,4210,3919,3969
Zeffro / DER AN914 (eobs 3912),Conchito / DER AU005 (eobs 3927),Wibi 1 / DER AU043 (eobs 3942),0.04943502824858757,0.001996007984031936,70,1724,3919,1416
